0 079, 1 04e, 2 0af, 4 0c1, 6 0e2, 8 0fd, 10 107, 12 0f0, 14 0d4, 16 0ce, 18 0d0, 20 0c3, 22 0bc, 24 0a6, 26 0a7, 28 077, 30 057, 32 04f, 34 052
0 14b, 1 1f7, 2 082, 4 068, 6 094, 8 0f2, 10 12e, 12 178, 14 1e2, 16 230, 18 26d, 20 287, 22 2ad, 24 2b8, 26 287, 28 2a1, 30 271, 32 229, 34 1b1
0 05c, 1 06a, 2 0cf, 4 0bb, 6 0a5, 8 07d, 10 091, 12 0a5, 14 0fe, 16 12e, 18 192, 20 1a0, 22 191, 24 159, 26 0ae, 28 0e9, 30 0ab, 32 07f, 34 05f
0 083, 1 06d, 2 074, 4 06a, 6 073, 8 079, 10 087, 12 081, 14 07c, 16 06b, 18 080, 20 07c, 22 096, 24 0a4, 26 0a6, 28 0aa, 30 09d, 32 089, 34 074
0 059, 1 029, 2 0f1, 4 0e3, 6 0cf, 8 0ad, 10 0a0, 12 099, 14 094, 16 086, 18 096, 20 08f, 22 07f, 24 074, 26 04c, 28 05d, 30 04e, 32 043, 34 03b
0 052, 1 04b, 2 077, 4 062, 6 04c, 8 042, 10 04c, 12 05a, 14 075, 16 088, 18 099, 20 09d, 22 08f, 24 091, 26 081, 28 087, 30 078, 32 065, 34 051
0 04c, 1 04b, 2 040, 4 03d, 6 039, 8 037, 10 041, 12 037, 14 04e, 16 060, 18 08d, 20 0a2, 22 0a8, 24 09b, 26 06e, 28 083, 30 073, 32 068, 34 062
0 074, 1 092, 2 0c4, 4 0bf, 6 0b6, 8 0a7, 10 0a9, 12 08e, 14 081, 16 084, 18 098, 20 0ab, 22 09a, 24 08b, 26 0ab, 28 08d, 30 07c, 32 063, 34 054
0 068, 1 038, 2 0aa, 4 09a, 6 089, 8 07a, 10 079, 12 057, 14 050, 16 051, 18 05c, 20 053, 22 054, 24 059, 26 05d, 28 059, 30 059, 32 059, 34 059
0 028, 1 039, 2 046, 4 046, 6 043, 8 04c, 10 04b, 12 051, 14 048, 16 040, 18 050, 20 04c, 22 043, 24 03d, 26 044, 28 029, 30 01a, 32 027, 34 03c
0 029, 1 027, 2 029, 4 029, 6 027, 8 024, 10 026, 12 024, 14 02d, 16 034, 18 033, 20 020, 22 028, 24 03a, 26 05b, 28 043, 30 035, 32 033, 34 040
0 044, 1 044, 2 068, 4 064, 6 05b, 8 04b, 10 04a, 12 03e, 14 04d, 16 060, 18 06a, 20 068, 22 066, 24 05f, 26 054, 28 059, 30 057, 32 056, 34 057
0 055, 1 058, 2 05f, 4 05f, 6 060, 8 060, 10 05f, 12 05f, 14 05f, 16 05b, 18 056, 20 052, 22 053, 24 054, 26 04c, 28 052, 30 04f, 32 050, 34 052
0 04f, 1 072, 2 06a, 4 071, 6 078, 8 084, 10 077, 12 09c, 14 0b0, 16 0ae, 18 0a8, 20 092, 22 083, 24 066, 26 051, 28 04e, 30 040, 32 032, 34 022
0 022, 1 023, 2 022, 4 022, 6 01f, 8 01f, 10 01e, 12 024, 14 025, 16 02b, 18 02e, 20 029, 22 02b, 24 028, 26 022, 28 025, 30 023, 32 022, 34 022
0 03f, 1 040, 2 075, 4 075, 6 075, 8 075, 10 068, 12 075, 14 06f, 16 060, 18 054, 20 045, 22 038, 24 028, 26 01f, 28 01c, 30 01e, 32 01f, 34 021
0 013, 1 013, 2 013, 4 013, 6 013, 8 013, 10 013, 12 013, 14 013, 16 013, 18 013, 20 013, 22 013, 24 013, 26 013, 28 013, 30 013, 32 013, 34 013
